,17,2,13,17,18,20,28
TCGA-4G-AAZT-01,-1.0689542,4.9389215,3.8137896,5.4920588,-5.9555516,3.9155498,3.205841
TCGA-W5-AA2R-11,-1.2618352,-9.625704,6.1721625,-11.160979,-1.1040395,19.406296,-0.81992954
TCGA-W5-AA36-01,-1.5643265,-7.149542,4.025675,9.75534,-4.5837965,-10.324716,-8.196496
TCGA-W5-AA2U-01,-0.8199143,-3.9255993,2.6466193,4.2403736,-3.0947049,-2.9834564,-4.386474
TCGA-ZU-A8S4-11,-1.4398192,1.9899154,6.0822916,-8.803884,-3.5063405,22.821611,7.3131714
TCGA-W5-AA30-11,-1.2444986,3.4825606,4.944344,-10.698194,-3.1144505,24.47685,8.538547
TCGA-W5-AA2T-01,-1.7099667,-4.095877,2.6766992,5.050683,-3.637853,-3.844096,-4.552704
TCGA-W5-AA2I-01,-1.1795669,4.752859,5.963343,25.24615,-9.994107,-15.72803,-3.5624924
TCGA-W5-AA2H-01,0.5950342,-13.541788,10.956743,12.338206,-7.0704207,3.531985,-9.988545
TCGA-3X-AAVA-01,-0.72067416,-5.7201114,3.0704608,2.9548168,-3.055394,-1.7662866,-5.15057
TCGA-W5-AA2Q-11,-1.0644503,1.9372344,7.466173,-5.6724625,-4.982974,21.158545,6.6381536
TCGA-ZH-A8Y8-01,-0.7159732,2.0102491,6.9560504,5.468933,-6.9519663,7.1508775,2.9830167
TCGA-3X-AAVB-01,-0.96113455,-11.983295,9.286695,21.790758,-8.2523575,-4.3518405,-13.429067
TCGA-W5-AA2U-11,-1.1502213,-14.705819,11.98952,15.315099,-7.2400794,17.549332,-11.4893055
TCGA-W5-AA2I-11,-1.4681182,-0.90232223,10.457418,8.214237,-7.661485,12.257303,1.3662113
TCGA-W5-AA2X-11,-1.540897,-0.6158524,8.97634,1.663279,-6.038888,13.877259,3.2742336
TCGA-W5-AA2Q-01,-1.2937334,2.669798,8.363909,24.77738,-10.528375,-9.713426,-3.221829
TCGA-W5-AA30-01,-1.2918625,1.1182436,7.3835163,19.977182,-10.5759325,-9.239123,-2.9766622
TCGA-W5-AA2G-01,-1.3522837,-11.966677,7.2877817,10.894205,-6.3129997,-6.7692885,-9.813979
TCGA-YR-A95A-01,-1.1009697,6.184049,2.6982064,3.4457035,-5.7097,5.356746,4.1921988
TCGA-ZH-A8Y6-01,-1.2256409,-14.1177225,10.545269,0.69769,-5.460717,14.73614,-4.9221487
TCGA-W5-AA34-11,-1.4782958,-5.178453,4.586237,-11.197635,-1.0817648,19.531958,2.0531845
TCGA-3X-AAV9-01,-0.77445525,1.5059259,8.174826,13.958692,-7.3967905,3.9443738,-0.15610823
TCGA-W5-AA2O-01,-1.6534367,4.7667108,3.5668576,-1.1800246,-4.539196,11.523473,5.2302446
TCGA-ZH-A8Y1-01,-1.7200633,-10.177727,8.103126,23.754148,-8.454174,-13.139464,-13.872359
TCGA-W5-AA38-01,-1.4595239,-8.927509,7.1353803,23.684347,-6.600312,-10.520301,-14.014985
TCGA-WD-A7RX-01,-1.0939205,-9.30425,6.6835265,25.382444,-6.918167,-16.752934,-14.771564
TCGA-W5-AA31-11,-1.4351001,-2.1603901,10.802165,6.4520583,-8.005742,14.008254,1.3581058
TCGA-W5-AA2X-01,-2.453062,4.5401196,3.0314722,-10.41487,-2.3169346,22.642765,9.487177
TCGA-W6-AA0S-01,-0.72118986,-11.416365,7.1290174,11.484643,-6.4818144,-8.38894,-10.351423
TCGA-ZH-A8Y4-01,-0.9017643,6.5813146,2.6072528,2.554949,-5.25625,6.2684155,4.5622015
TCGA-W5-AA2R-01,-0.59507376,-12.995209,9.036535,17.95041,-8.613692,-9.855811,-12.042704
TCGA-W5-AA34-01,-1.2658081,-11.720113,8.761459,9.372905,-6.987137,-3.470291,-8.528221
TCGA-ZH-A8Y5-01,-1.2580233,5.8495884,2.1073885,3.713109,-5.4056396,4.2724504,3.7878575
TCGA-ZU-A8S4-01,-0.5994098,4.6700797,3.4644606,-5.7909455,-3.9443853,17.273695,7.4330215
TCGA-ZH-A8Y2-01,-1.2176868,-9.069247,6.0991693,2.1359882,-3.6275084,2.9796388,-5.330107
TCGA-W5-AA33-01,-1.2624917,1.8806674,6.5300584,16.9357,-8.817381,-6.403679,-1.9057503
TCGA-4G-AAZO-01,-1.121254,-6.8783727,3.6672025,0.403224,-3.2105362,2.1240609,-4.133282
TCGA-3X-AAVE-01,-0.8014294,1.8542663,8.349394,21.450512,-8.528143,-2.2070491,-2.5752354
TCGA-W5-AA2W-01,-1.0001096,-4.9164248,2.626874,1.6826096,-3.2449267,0.37486795,-3.7379107
TCGA-W5-AA2Z-01,-0.61096126,-11.311559,7.5151525,8.9915495,-6.4484124,-4.543445,-8.468219
TCGA-ZD-A8I3-01,-1.3385043,-8.038908,6.705301,25.379522,-7.2937016,-18.42024,-13.997814
TCGA-3X-AAVC-01,-2.354884,-12.169142,8.876556,11.364272,-6.4579663,-2.3532026,-9.94945
TCGA-W5-AA31-01,-1.5330011,1.3251115,8.509621,14.626058,-7.5416484,7.8904176,0.07461373
TCGA-W5-AA39-01,-2.0232701,1.675148,6.8142414,2.510339,-6.227468,11.023972,3.664681
